KECAMATAN,balita_gizi_kurang__bb_u_,balita_pendek_tb_u_,balita_kurus__bb_tb_
Asemrowo,194,319,89
Benowo,320,283,142
Bubutan,602,324,206
Bulak,303,610,142
Dukuh Pakis,212,138,48
Gayungan,157,204,43
Genteng,345,83,64
Gubeng,618,439,76
Gunung Anyar,226,2,3
Jambangan,391,260,225
Karang Pilang,302,435,222
Kenjeran,1117,1594,713
Krembangan,517,770,213
Lakarsantri,302,236,112
Mulyorejo,249,266,167
Pabean Cantikan,443,415,270
Pakal,385,841,206
Rungkut,624,668,296
Sambikerep,345,538,291
Sawahan,1098,1452,710
Semampir,842,1475,525
Simokerto,591,633,318
Sukolilo,471,190,174
Sukomanunggal,611,417,262
Tambaksari,845,555,420
Tandes,552,78,161
Tegalsari,567,377,221
Tenggilis,157,196,68
Wiyung,279,265,137
Wonocolo,453,288,106
Wonokromo,700,1040,247
