KECAMATAN,balita_gizi_kurang__bb_u_,balita_pendek_tb_u_,"BALITA GIZI KURANG
(BB/TB : < -2 s.d -3 SD)","BALITA GIZI BURUK 
(BB/TB: < -3 SD)"
Asemrowo,52,38,46,4
Benowo,34,30,44,3
Bubutan,100,87,49,5
Bulak,22,56,11,4
Dukuh Pakis,116,38,132,5
Gayungan,105,26,81,3
Genteng,24,41,20,1
Gubeng,41,40,8,2
Gunung Anyar,115,54,103,2
Jambangan,17,21,19,0
Karang Pilang,25,21,9,3
Kenjeran,709,194,479,10
Krembangan,87,89,43,11
Lakarsantri,28,78,12,3
Mulyorejo,30,41,18,1
Pabean Cantikan,48,52,49,2
Pakal,40,26,48,2
Rungkut,219,92,173,6
Sambikerep,101,74,6,2
Sawahan,129,103,58,3
Semampir,296,139,215,12
Simokerto,83,70,42,4
Sukolilo,57,71,32,5
Sukomanunggal,51,48,37,1
Tambaksari,231,114,177,9
Tandes,50,36,21,2
Tegalsari,174,36,256,3
Tenggilis,19,25,5,0
Wiyung,87,51,95,6
Wonocolo,31,68,22,1
Wonokromo,274,95,191,8
